DateTime,Entries,UniqueIPs
1538026837,60,60
1538028787,60,60
1538032639,61,61
1538034785,63,63
1538038595,65,65
1538040512,61,61
1538042507,62,62
1538044471,65,65
1538046335,63,63
1538048201,64,64
1538050154,65,65
1538052032,64,64
1538053960,65,65
1538055879,66,66
1538057815,69,69
1538059717,69,69
1538061801,70,70
1538063779,69,69
1538065957,67,67
1538067877,67,67
1538069806,68,68
1538071721,68,68
1538075575,68,68
1538077495,67,67
1538079402,65,65
1538081325,63,63
1538083248,59,59
1538087090,56,56
1538090915,55,55
1538092921,54,54
1538096897,52,52
1538099098,60,60
1538101017,62,62
1538102922,65,65
1538104834,64,64
1538106786,65,65
1538108699,65,65
1538110600,65,65
1538112559,65,65
1538114514,64,64
1538116502,67,67
1538118520,67,67
1538120676,66,66
1538122623,69,69
1538124528,71,71
1538126459,73,73
1538128361,75,75
1538130285,75,75
1538132216,73,73
1538134120,76,76
1538136122,76,76
1538137981,76,76
1538139922,79,79
1538141801,80,80
1538143718,78,78
1538145637,79,79
1538147559,78,78
1538149475,77,77
1538151419,80,80
1538155249,79,79
1538157153,79,79
1538160997,80,80
1538162919,80,80
1538168746,81,81
1538170605,81,81
1538184499,75,75
1538186513,70,70
1538188363,69,69
1538190273,67,67
1538192212,66,66
1538194142,66,66
1538196034,65,65
1538197971,66,66
1538199871,67,67
1538201807,67,67
1538203709,67,67
1538205631,67,67
1538207549,68,68
1538209483,65,65
1538211409,63,63
1538213302,66,66
1538215339,64,64
1538217164,593,593
1538219333,642,642
1538221243,642,642
1538223155,641,641
1538225096,637,637
1538227004,637,637
1538230839,637,637
1538232773,636,636
1538234674,636,636
1538236596,636,636
1538238509,637,637
1538240478,638,638
1538242359,636,636
1538244281,635,635
1538246197,634,634
1538248116,632,632
1538250033,632,632
1538251957,634,634
1538253864,634,634
1538255801,633,633
1538263473,634,634
1538265389,635,635
1538267301,636,636
1538269282,640,640
1538273079,642,642
1538274976,643,643
1538276923,643,643
1538278840,645,645
1538280756,643,643
1538282671,643,643
1538284583,641,641
1538286508,641,641
1538288436,643,643
1538290349,644,644
1538292268,643,643
1538294194,639,639
1538296100,638,638
1538298079,637,637
1538299943,631,631
1538301867,630,630
1538303806,48,48
1538305804,48,48
1538307646,49,49
1538309796,51,51
1538311701,52,52
1538313628,53,53
1538315553,56,56
1538317472,57,57
1538319391,60,60
1538321299,59,59
1538323283,58,58
1538325163,56,56
1538327090,55,55
1538334740,54,54
1538336665,54,54
1538338610,52,52
1538340514,55,55
1538342434,56,56
1538346266,57,57
1538350106,56,56
1538352105,58,58
1538353949,59,59
1538355896,57,57
1538357782,59,59
1538359712,57,57
1538361701,53,53
1538365484,51,51
1538367560,50,50
1538369561,49,49
1538371948,50,50
1538373908,50,50
1538375796,48,48
1538377727,48,48
1538379617,49,49
1538381562,50,50
1538383460,48,48
1538385411,49,49
1538387299,52,52
1538389257,53,53
1538391165,55,55
1538393184,55,55
1538395315,55,55
1538397158,54,54
1538399129,54,54
1538401012,51,51
1538402908,50,50
1538404841,50,50
1538406772,48,48
1538408673,50,50
1538410609,51,51
1538412512,52,52
1538418268,52,52
1538420190,50,50
1538422120,50,50
1538424120,53,53
1538425962,54,54
1538427935,57,57
1538430040,58,58
1538431954,66,66
1538433867,73,73
1538435811,79,79
1538437715,82,82
1538439643,85,85
1538441555,84,84
1538443477,84,84
1538445392,84,84
1538447788,84,84
1538449747,85,85
1538451648,86,86
1538453566,87,87
1538455708,93,93
1538457660,93,93
1538459545,94,94
1538461494,102,102
1538463382,104,104
1538465305,106,106
1538467311,105,105
1538469409,112,112
1538471340,117,117
1538473244,118,118
1538475176,119,119
1538477100,120,120
1538478986,119,119
1538480937,120,120
1538483090,119,119
1538484999,124,124
1538486898,125,125
1538488907,125,125
1538490753,128,128
1538492731,127,127
1538494605,131,131
1538496558,132,132
1538498443,131,131
1538500378,133,133
1538502285,134,134
1538504196,134,134
1538508040,132,132
1538509951,131,131
1538511865,132,132
1538514097,131,131
1538515951,133,133
1538517881,129,129
1538519780,126,126
1538521739,123,123
1538523648,121,121
1538525568,118,118
1538527472,114,114
1538529401,114,114
1538531318,111,111
1538533248,110,110
1538535157,111,111
1538537078,110,110
1538538992,109,109
1538540904,108,108
1538543128,105,105
1538545018,104,104
1538547202,99,99
1538549087,101,101
1538551000,98,98
1538552923,100,100
1538554840,98,98
1538556766,95,95
1538558691,92,92
1538560605,88,88
1538562508,88,88
1538564499,89,89
1538566398,90,90
1538568350,90,90
1538570445,93,93
1538572345,99,99
1538574295,99,99
1538576188,102,102
1538578108,101,101
1538580038,102,102
1538581964,103,103
1538583878,105,105
1538585809,107,107
1538587709,106,106
1538589696,107,107
1538591559,109,109
1538593536,113,113
1538595382,114,114
1538597317,115,115
1538599480,118,118
1538601411,122,122
1538603310,122,122
1538605230,117,117
1538607157,119,119
1538609082,118,118
1538610990,123,123
1538612916,123,123
1538615077,126,126
1538616989,129,129
1538618916,126,126
1538620839,129,129
1538622749,135,135
1538624690,134,134
1538626599,134,134
1538628509,132,132
1538630417,134,134
1538632332,137,137
1538634273,138,138
1538636206,139,139
1538638120,139,139
1538640088,139,139
1538641964,140,140
1538643869,139,139
1538645805,142,142
1538647729,143,143
1538649654,145,145
1538651588,143,143
1538653481,141,141
1538655673,137,137
1538657552,136,136
1538659483,135,135
1538661426,136,136
1538663298,136,136
1538665304,135,135
1538667168,136,136
1538669103,132,132
1538672936,128,128
1538674842,126,126
1538676755,127,127
1538678696,126,126
1538680597,127,127
1538684452,125,125
1538686357,120,120
1538690200,115,115
1538692122,116,116
1538694105,112,112
1538695955,110,110
1538697933,107,107
1538699779,105,105
1538703878,101,101
1538705816,99,99
1538707760,100,100
1538709637,101,101
1538711556,102,102
1538713522,102,102
1538715392,103,103
1538717324,97,97
1538719289,103,103
1538721157,103,103
1538723119,105,105
1538724976,107,107
1538726934,108,108
1538728834,110,110
1538731014,111,111
1538732909,108,108
1538734841,110,110
1538736759,112,112
1538740596,110,110
1538742528,112,112
1538744506,115,115
1538746359,117,117
1538748328,123,123
1538750432,125,125
1538752354,126,126
1538754298,128,128
1538756200,130,130
1538762207,130,130
1538764241,130,130
1538767980,132,132
1538769900,133,133
1538771810,134,134
1538773711,135,135
1538775652,135,135
1538777571,135,135
1538779469,138,138
1538781401,140,140
1538783337,140,140
1538785242,141,141
1538787175,145,145
1538789140,147,147
1538791030,149,149
1538792954,148,148
1538794906,146,146
1538796766,146,146
1538798678,145,145
1538800617,144,144
1538802539,141,141
1538804577,140,140
1538806877,135,135
1538808772,133,133
1538810674,128,128
1538812611,125,125
1538814510,122,122
1538816505,121,121
1538818356,121,121
1538820311,121,121
1538822222,121,121
1538824114,118,118
1538826028,114,114
1538827963,111,111
1538829885,111,111
1538831791,112,112
1538833969,113,113
1538835882,109,109
1538837800,103,103
1538839703,103,103
1538841689,103,103
1538843564,104,104
1538845518,104,104
1538847384,106,106
1538849358,107,107
1538851235,107,107
1538853160,106,106
1538855071,110,110
1538857002,112,112
1538858904,112,112
1538860842,113,113
1538862749,116,116
1538864691,115,115
1538866593,118,118
1538868509,120,120
1538870526,121,121
1538872363,120,120
1538874735,120,120
1538876697,120,120
1538878606,116,116
1538880519,117,117
