DateTime,AddedIPs,RemovedIPs
1538703723,80,80
1538704324,78,78
1538704923,80,80
1538705523,80,80
1538706124,80,80
1538707324,80,80
1538707923,80,80
1538708524,80,80
1538709724,80,80
1538710323,80,80
1538710924,80,80
1538711522,80,80
1538712123,80,80
1538712723,80,80
1538713324,80,80
1538713923,80,80
1538714524,79,79
1538715723,80,80
1538716924,80,80
1538717527,79,79
1538718124,80,80
1538719323,80,80
1538719923,80,80
1538720524,80,80
1538721124,79,79
1538721724,80,80
1538722924,80,80
1538723524,80,80
1538724125,80,80
1538724723,80,80
1538725323,80,80
1538726523,80,80
1538727723,80,80
1538728924,80,80
1538730124,80,80
1538730723,79,79
1538731324,80,80
1538731924,80,80
1538732523,79,79
1538733124,80,80
1538733724,80,80
1538734323,80,80
1538734923,79,79
1538735524,80,80
1538736124,80,80
1538737323,80,80
1538737923,80,80
1538738524,80,80
1538739123,80,80
1538739723,78,78
1538740324,80,80
1538740924,80,80
1538742123,80,80
1538742723,80,80
1538743323,80,80
1538743923,80,80
1538744525,80,80
1538745124,80,80
1538745723,78,78
1538746323,80,80
1538746924,80,80
1538747524,80,80
1538748124,80,80
1538748724,80,80
1538749324,80,80
1538750524,80,80
1538751124,79,79
1538751724,80,80
1538752924,80,80
1538754124,80,80
1538755324,80,80
1538755924,78,78
1538756523,80,80
1538757723,80,80
1538758324,80,80
1538758925,79,79
1538759524,80,80
1538760123,80,80
1538761324,80,80
1538762525,80,80
1538763125,80,80
1538763725,79,79
1538764324,80,80
1538764924,80,80
1538765524,80,80
1538766125,80,80
1538766724,80,80
1538767325,80,80
1538767924,80,80
1538768524,80,80
1538769123,80,80
1538769724,80,80
1538770925,80,80
1538771526,80,80
1538772124,80,80
1538772725,80,80
1538773325,80,80
1538774524,80,80
1538775125,80,80
1538775724,80,80
1538776324,80,80
1538776924,80,80
1538778124,80,80
1538779324,80,80
1538779925,80,80
1538780524,80,80
1538781125,80,80
1538781725,80,80
1538782924,80,80
1538783524,80,80
1538784129,80,80
1538784725,80,80
1538785323,80,80
1538785924,80,80
1538786525,80,80
1538787725,80,80
1538788326,80,80
1538788924,80,80
1538790124,80,80
1538790724,80,80
1538791325,80,80
1538792524,80,80
1538793123,80,80
1538793723,80,80
1538794925,80,80
1538795526,80,80
1538796124,80,80
1538796725,79,79
1538797324,80,80
1538797924,80,80
1538798524,80,80
1538799125,80,80
1538799723,79,79
1538800324,80,80
1538800924,80,80
1538802124,80,80
1538802723,80,80
1538803324,80,80
1538803925,80,80
1538804523,80,80
1538805123,80,80
1538805723,80,80
1538806924,80,80
1538807523,79,79
1538808123,80,80
1538808724,80,80
1538809323,80,80
1538809924,80,80
1538810523,80,80
1538811124,80,80
1538811723,80,80
1538812323,80,80
1538812924,80,80
1538813525,80,80
1538814123,80,80
1538814724,80,80
1538815323,80,80
1538816523,80,80
1538817124,80,80
1538817723,80,80
1538818923,80,80
1538819524,80,80
1538820123,80,80
1538821324,80,80
1538822524,80,80
1538823724,80,80
1538824324,79,79
1538824924,79,79
1538826124,80,80
1538826723,80,80
1538827324,80,80
1538828523,80,80
1538829124,79,79
1538829724,80,80
1538830924,80,80
1538831526,80,80
1538832123,80,80
1538833324,80,80
1538833923,80,80
1538834524,80,80
1538835124,80,80
1538835725,80,80
1538836923,80,80
1538838127,80,80
1538838723,80,80
1538839323,80,80
1538839923,80,80
1538840526,79,79
1538841724,80,80
1538842325,80,80
1538842924,80,80
1538844123,80,80
1538844724,80,80
1538845324,80,80
1538846523,80,80
1538847123,80,80
1538847723,80,80
1538848923,80,80
1538849525,80,80
1538850124,80,80
1538851324,80,80
1538851923,79,79
1538852523,79,79
1538853723,80,80
1538854323,80,80
1538854923,80,80
1538855523,80,80
1538856123,80,80
1538856723,80,80
1538857324,80,80
1538857924,80,80
1538858524,80,80
1538859124,80,80
1538859726,80,80
1538860324,79,79
1538860923,80,80
1538861524,80,80
1538862124,80,80
1538863323,80,80
1538863924,80,80
1538864524,80,80
1538865723,80,80
1538866923,80,80
1538868124,80,80
1538868723,67,67
1538869323,80,80
1538870526,80,80
1538871125,79,79
1538871724,80,80
1538872323,80,80
1538872923,80,80
1538873523,80,80
1538874123,80,80
1538874724,80,80
1538875324,80,80
1538875924,80,80
1538876523,80,80
1538877123,80,80
1538877723,80,80
1538878324,80,80
1538878925,80,80
1538880123,80,80
1538880724,80,80
1538881323,80,80
1538881925,80,80
1538882523,80,80
1538883723,80,80
1538884924,79,79
1538885524,80,80
1538886124,80,80
1538886723,80,80
